연번,호선,역번호,역명,경로,장애,유공자
47,2,237,당산,472138,106449,7686
48,2,238,합정,537111,125585,8477
49,2,239,홍대입구,746783,194040,12081
50,2,240,신촌,972980,213239,10599
51,2,241,이대,377027,78102,2972
52,2,242,아현,537342,100362,5471
53,2,243,충정로(경기대입구),381919,90889,4410
54,2,244,용답,153982,27844,1530
55,2,245,신답,80199,15270,282
56,2,246,신설동,276087,52622,3219
57,2,247,도림천,62778,12587,550
58,2,248,양천구청,380695,70182,2668
59,2,249,신정네거리,582619,112258,5818
60,2,250,용두(동대문구청),197533,35449,1797
61,3,309,지축,178148,35895,3075
62,3,310,구파발,953983,173992,12885
63,3,311,연신내,2188055,383345,19905
64,3,312,불광,1186958,181740,10821
65,3,313,녹번,624054,111560,9044
66,3,314,홍제,1188405,178401,7560
67,3,315,무악재,245038,35004,2639
68,3,316,독립문,598631,91548,4571
69,3,317,경복궁(정부서울청사),640717,108984,9334
70,3,318,안국,643587,102560,9281
71,3,319,종로3가,458768,102330,6027
72,3,320,을지로3가,443303,69218,6233
73,3,322,동대입구,279131,46284,2828
74,3,323,약수,676544,120381,7499
75,3,324,금호,467260,62058,3119
76,3,325,옥수,511295,62722,3451
77,3,326,압구정,1110843,138892,9194
78,3,327,신사,609965,104628,6448
79,3,328,잠원,264449,27903,1785
80,3,329,고속터미널,1394680,224085,14814
81,3,330,교대(법원.검찰청),542408,74506,7782
82,3,331,남부터미널(예술의전당),970341,157300,14026
83,3,332,양재(서초구청),1203395,193998,18940
84,3,333,매봉,519449,68871,6703
85,3,334,도곡,224955,27601,1444
86,3,335,대치,534881,50982,4228
87,3,336,학여울,130323,16658,1189
88,3,337,대청,466798,92392,5503
89,3,338,일원,501722,82998,4773
90,3,339,수서,782028,208587,14521
91,3,340,가락시장,650447,81608,4908
92,3,341,경찰병원,340527,58101,3766
93,3,342,오금,229790,40782,2912
94,4,409,당고개,740576,155277,8866
95,4,410,상계,940338,219401,10200
96,4,411,노원,683822,175150,8360
97,4,412,창동,1586915,280690,19721
98,4,413,쌍문,1309535,243918,15480
